Section,Rule_ID,Pattern,Supporting_Papers_With_Tier,Support_Count_TierA,Location_Hint,Temporal_Span,Topic_Span,Venue_Span,Confidence,Genericity_Risk
Introduction,I6,"缺陷收敛为信息被丢弃/未建模，模块以该信息命名","31(A1);07(A1);01(A2);02(A2);03(A2);11(A2);12(A2);13(A2);16(A2);19(A2)",10,Introduction 诊断句 + 模块名,2016-2024,smoke+dehaze+medical,IEEE+Elsevier+KSII,high,low — 最有区分度
Introduction,I7,"用 The first way ... Another way ... 压缩解法为 RW 留展开空间","08(A2);02(A2);01(A2);12(A2)",4,Introduction 解法压缩句 vs RW 小节标题,2019-2023,smoke+medical,IEEE+Elsevier,medium-high,low
Introduction,I8,"贡献列表 3 项为主，每项目的或动作开头，末项整合","07(A1);36(A1);01(A2);02(A2);03(A2);05(A2);12(A2);13(A2);30(A2);04(A3);06(A3);09(B);10(B)",11,Introduction 末段贡献列表,2019-2026,all,all,high(2019后),high(列表化是 venue 模板)/low(项内目的优先写法)
Introduction,I9,"at least N contributions 谦抑限定（早期特征）","21(A1);17(A1);20(A1)",3,Introduction 贡献引导句,2011-2017,smoke only,Elsevier+IEEE Access+Fire Safety,high(作为年代标记),low
Introduction,I10,"章节路线句展开到小节级","07(A1);08(A2);02(A2)",3,Introduction 末句,2019-2022,smoke only,IEEE+Elsevier,medium-high(小节级)/low(路线句本身),very high — 路线句本身是模板句
RelatedWork,R1,"分类轴按技术谱系切不按时间切","36(A1);07(A1);02(A2);03(A2);05(A2);08(A2);12(A2);13(A2);04(A3);06(A3);18(A3);09(B);10(B)",11,RW 小节标题,2019-2026,all,IEEE+Elsevier,high,medium — 领域普遍做法
RelatedWork,R2,"末小节留给本文贡献所属谱系","36(A1);07(A1);03(A2);05(A2);12(A2);13(A2);06(A3);18(A3);09(B);10(B)",8,RW 小节顺序,2021-2026,all,IEEE+Elsevier,medium-high,low
RelatedWork,R3,"一句一方法 Author et al. [n] + 过去时动词","20(A1);36(A1);01(A2);03(A2);08(A2);11(A2);12(A2);13(A2);19(A2);30(A2)",10,RW 全部段落,2016-2025,all,all,high(节奏)/low(作为个人风格),very high — 计算机视觉综述通用写法
RelatedWork,R4,"缺陷从句紧贴方法句并收敛到本文要补的信息","20(A1);02(A2);13(A2);16(A2);30(A2);11(A2);03(A2);12(A2)",8,RW 各小节内部与末句,2016-2024,all,all,high,low
RelatedWork,R5,"RW 以定位段收尾（Inspired by 或 However above-mentioned）","07(A1);36(A1);02(A2);03(A2);08(A2);11(A2);12(A2);13(A2);16(A2);30(A2);04(A3);06(A3);18(A3);09(B);10(B)",13,RW 最后一段,2016-2026,all,all,high,medium
RelatedWork,R6,"above-mentioned/aforementioned 作标准回指装置","07(A1);17(A1);21(A1);36(A1);01(A2);02(A2);03(A2);08(A2);12(A2);13(A2);16(A2);30(A2)",12,全文各处,2011-2025,all,all,medium(偏好)/low(独占性),very high — 通用学术英语
RelatedWork,R7,"自引用第三人称化不标注","20(A1);07(A1);01(A2);02(A2);03(A2);12(A2);16(A2);30(A2)",8,RW 中含 Yuan et al. 的句子,2017-2023,smoke+medical,IEEE+Elsevier+KSII,medium-high,low
RelatedWork,R8,"Introduction 给路线 RW 给方法，用抽象层级差控重叠","08(A2);02(A2);12(A2);01(A2)",4,Introduction 压缩句 vs RW 小节内容,2019-2023,smoke+medical,IEEE+Elsevier,medium-high,low
RelatedWork,R9,"跨谱系借用时显式声明合并各自优点","19(A2);12(A2);13(A2)",3,RW 或 Introduction 的元论证句,2016-2024,smoke+medical,Elsevier+IEEE,medium,low — 但 12/13 疑为同一文本复用
