Paper_ID,Tier,Component,Problem_Addressed,Purpose_Clause_As_Written,Operation_Summary,Formula_or_Figure,Named_After_Missing_Info,Ablated,Evidence_Note
12_CNN_Transformer_PR2023,A2,Feature Complementary Module (FCM),两域特征需要有效融合,"we propose an effective Feature Complementary Module (FCM) by cross-wisely fusing features from the transformation domains of CNN and Transformer",交叉拼接 + 域间相关 + 通道注意力,Methods 3.4,yes(跨域互补信息),yes(4.5.1 FCM 评估),Conclusion 展开为三种手段枚举
13_BiDirectional_TIP2024,A2,Bi-directional Attention Gate (Bi-AG),CNN 与 Transformer 特征存在语义鸿沟且未对齐,"To reduce semantic gaps between them, we propose a Bi-directional Attention Gate module (Bi-AG) to fully exchange information from the two encoding paths",双输入双输出注意力门;先用 1×1 卷积把 CNN 通道调到 E,Fig.3,yes(跨编码器信息),yes(Table II 融合模块变体),"前提句 The CNN and Transformer encoders respectively produce 2D feature maps and 1D patch embedding features, so they are not aligned"
13_BiDirectional_TIP2024,A2,Boundary Aware Decoder (BAD),编码过程丢失局部细节与全局上下文;边界不准,"To refine spatial details and contextual semantics, we propose three progressive decoders with six supervised losses",残差结构 + 多尺度反向注意力,Methods C-3,yes(边界与空间细节),yes(Table I 结构变体),失败案例图 Fig.9 被 Conclusion 局限段引用
36_FeatureAggregation_TCE2025,A1,Hybrid Pixel Attention (HPA),自注意力二次复杂度高;其他注意力感受野小,"Motivated by the success of window-shifting strategy in Swin Transformers, we propose a Hybrid Pixel Attention (HPA) block",LPA+DPA+SPA 三种像素注意力混合,Fig.3,partial(非局部信息),yes(TABLE I/II 消融含窗口尺寸),摘要用 competitive 而非 outperforms
36_FeatureAggregation_TCE2025,A1,Multi-Scale Channel Attention (MSCA),HPA 只建模空间;通道信息未利用,"To mitigate this issue during the progressive expansion of receptive fields, it is necessary to recalibrate channel-wise information",多尺度通道注意力 + Token Learner,Fig.4,yes(通道信息),yes,"跨空间与通道维度建模像素交互"
36_FeatureAggregation_TCE2025,A1,Adaptive Feature Fusion (AFF),低频结构信息在重建中被削弱,"To further enhance deep features and refine texture details, we individually fuse the outputs from the subsequent n stacked ODFMs with the shallow feature map",浅层特征与深层特征自适应融合,Eq.(4)(5),yes(低频结构信息),yes(TABLE III),"消融原文 removing AFF reduces parameters by only 8% but PSNR decreases by 0.16dB"
19_HighOrder_LTP_IS2016,A2,High-order LTP (HLTP),LTP 只用一阶导数;上下 LBP 码分解导致信息丢失,"To include more information, we first propose high order LTP by encoding high order directional derivatives at the center pixel",高阶方向导数量化为三值 + 上下码联合直方图,Eq.(6)(7),yes(共现信息),yes(4.2 逐方法对比),"缺陷诊断 this leads to loss of information"
19_HighOrder_LTP_IS2016,A2,Locality Preserving Projection (LPP),拼接直方图维度过高,"To improve computational efficiency, we apply Locality Preserving Projection (LPP) to reduce the dimension of HLTP",流形降维,Methods 3.4,no,yes,"Conclusion 坦诚式限定:LPP is not compulsory"
19_HighOrder_LTP_IS2016,A2,HLTPMC,高阶扩展缺乏噪声抗性,"To further improve performance, we present a noise resistant mechanism to remove noisy derivatives",阈值抑噪 + 编码幅值与中心像素值,Methods 3.5,yes(噪声抗性),yes,与 CLBP 的区别在正文显式说明
20_GP_IEEEAccess2017,A1,KPCA step,LBP 特征判别力不足;LDA 在二分类退化为一维,"To further obtain discriminant features, KPCA is adopted to non-linearly map the LBP-like features into a low-dimensional space",核主成分非线性映射,Methods B,partial(流形结构),yes(A. 消融:直接 GPR vs KPCA-GPR),"Related Work 用 LDA 的数学退化否定对手"
20_GP_IEEEAccess2017,A1,GPR step,SVM 泛化性不足;需要自动学超参,"To improve generalization performance, GPR is used to model classification as a Gaussian Process without the assumptions about the structures of data",高斯过程回归建模分类,Methods C,no,yes,"三步流水线可替换是显式设计目标"
30_DualEncoded_KSII2019,A2,Dual-encoded LBP (Dual-LBP),Curvelet 系数被当整体特征;频间关系未利用,"To extract features from these coefficient maps, we propose Dual-encoded Local Binary Patterns (Dual-LBP) to get information on each coefficient map",系数图取 LBP 后聚合成直方图图再二次编码,Eq.(1)-(13),yes(频间分布关系),no(无独立消融),"前提句 Smoke image edges are always curved, so Curvelet is almost the optimal representation"
31_SubOriented_KSII2016,A1,Sub oriented histograms of LBP,传统 LBP 直方图完全丢弃 LBP 码的空间分布,"To improve performance, we propose to extract sub oriented LBP code maps from LBP code maps and compute oriented histograms",按两个离散方向对生成子码图再算方向直方图,Eq.(9),yes(空间分布信息),no(无独立消融),"最典型的信息缺失式诊断→模块命名闭环"
31_SubOriented_KSII2016,A1,Hamming distance for LBP gradients,LBP 码只是标签无数值意义,"To solve this issue, we introduce a reference code c, and the difference between two LBP codes can be re-defined as ...",用汉明距离替代欧氏距离估计梯度,Eq.(9),yes(码间关系),no,"用 smoke/smile 字符串举例说明汉明距离"
21_LBP_LBPV_FireSafety2011,A1,LBP/LBPV pyramid histogram sequence,单尺度 LBP 丢失全局信息;现有纹理法对旋转光照敏感,"To include more global information of the image textures, a 3-level image pyramid is constructed",三级金字塔各层取三种 LBP 模式后拼接直方图,Fig.3 Fig.4,partial(全局信息),no(无消融),独著;摘要为纯步骤枚举
21_LBP_LBPV_FireSafety2011,A1,Block distance replacing Euclidean,双线性插值耗时,"In order to further improve the computational performance, the Euclidean distance is replaced with the block distance",用块距离免去重采样,Fig.2,no,no,"因果尾句 As the radius increases, an LBP contains more global information ... thus increasing the computational cost"
16_MultiScale_IS2018,A2,3D local differences across scales,多尺度扩展未涉及尺度间关系,"To fully extract 3D local information, we slide the 3D sampling window R in scale space to densely compute difference vectors","尺度空间内滑动 3D 窗口;R_1..R_K 同尺寸拼成 3D 张量",Eq. 多处,yes(跨尺度关系),yes(4.2.5 学习类方法对比),"前提句 Each L_k ... shares the same resolution, so that 3D samplings can be easily computed"
16_MultiScale_IS2018,A2,Learnt projection matrix,手工特征需领域知识,"a projection matrix is learnt from 3D local differences throughout all training images, so both holistic and local information is involved",从全部训练差分学投影矩阵,Methods 3.2,partial(整体信息),yes,投影矩阵可跨数据集迁移
16_MultiScale_IS2018,A2,Within-map / between-map encoding + Taylor-like coefficients,高阶扩展缺噪声抗性;两种编码贡献需平衡,"To make the two encoding ways have the same contributions, we weight the histograms of cross-sign maps and LBP maps with different coefficients",两种编码 + 1.0/0.125 权重 + Taylor 系数跨层加权,Methods 3.3,yes(高阶信息),yes,"Conclusion 局限:重建误差跨层累积放大"
17_DoubleMapping_PR2012,A1,Multi-scale partitions,Haar-like 特征形状可变导致泛化差,"a detection window is partitioned into a set of blocks at different scale, then statistic features are extracted on these multi-scale blocks",改变块尺寸与划分方案生成多尺度划分,Methods,partial(形状不变性),yes(Fig.8 ROC 对比 Haar-like),独著;提取质量中低
17_DoubleMapping_PR2012,A1,Double mapping framework,预先指定特征不如特征选择,"AdaBoost is used to select shape-invariant features from these statistic features",图像→块特征→统计特征两次映射后 AdaBoost 选择,Methods,no,yes,诊断用统计学习语言而非信息语言
11_Confidence_Prior_PR2021,A2,Confidence prior,已有先验受离群值与噪声影响;暗通道先验对亮区失效,"To remove outliers or noises, we propose a novel prior based on the confidence of Gaussian distributions for improving robustness",通道最小值升序排序后用高斯拟合 + 置信比,Eq.(7) 等 65 处,yes(离群值抑制),yes,主题混杂:去雾
11_Confidence_Prior_PR2021,A2,Adaptive ratio regression,固定比值在深度突变区失效,"For the sake of simplicity, we use a linear regression for learning in our implementation",线性回归学 patch 外观到置信比的映射,Eq.(21),no,yes,"Discussion 段为清洗者合成,不可作证据"
