Rule_ID,Section,Pattern,When,Why,Do,Language_Marker,TierA_Support,TierB_Validation,Counterexamples,Temporal_Coverage,Topic_Coverage,Venue_Coverage,Confounds,Confidence,Whitelist,Avoid
I3,Introduction,显式任务分类或流程分解,进入方法评述之前,先给读者一个坐标系,用 can be classified/divided/categorized into N categories 或 consists of N steps which are A B and C,which are ... respectively,7篇TierA,一致,"11/12/36无显式切分句;02压缩为The first way-Another way",2011-2024,smoke+medical,全部,无,high,yes,不得给出切分却不命名类别
I4,Introduction,难点用N-folds或main-reason-may-be枚举,论证任务为什么难,把难点当可枚举清单且带认知hedge,The reasons are N folds: 1)2)3) 或 The main reason(s) may be A B C and D,N folds/may be,5篇TierA(已扣除03与07的文本复用),一致,03与07的四项难点逐项对应属同组复用文本,2017-2023,仅smoke,IEEE+Elsevier,课题组文本复用,medium-high,yes,不得归因到网络容量或训练不稳
I5,Introduction,缺陷写成条件式失效,评述他人方法,批评带触发条件像故障分析,"If/Once <场景条件>, the method may give false alarms 或 X depends greatly on Y which varies in ...",If the scene lacks/depends greatly on,8篇TierA,一致,13用笼统评价;深度学习时代整体更抽象,2011-2022,smoke+dehaze,全部,年代条件,high(手工特征期)/medium(深度期),yes,不得写 the method performs poorly
I6,Introduction,用The-first-way-Another-way压缩解法,论文有独立RelatedWork,用抽象层级差控制两节重叠,Introduction用2到3句概括业界试过的几条路每条一句;RW把每条做成小节,The first way/Another way,4篇TierA,一致,03在Introduction点名五个具体方法与RW-2.1重叠,2019-2023,smoke+medical,IEEE+Elsevier,无,medium-high,yes,不得在Introduction做方法级逐条评述
I7,Introduction,贡献列表3项为主每项目的或动作开头末项整合,Introduction收尾,格式稳定且项内写法与摘要一致,引导句 The main contributions of this paper are summarized as follows 加3项;末项把模块整合成整个网络,contributions ... as follows,11篇TierA,09/10 成立,"21无贡献列表;19/20/31/17用序数散文",2019-2026,全覆盖,全部,编号与bullet格式是venue模板,high(2019后),yes(仅项内写法),不得把贡献写成实验结果;项数不超5
I8,Introduction,at-least-N-contributions谦抑限定,仅复刻2011到2017风格,早期给贡献数量加下限式hedge,This paper at least has two main contributions to <任务>,at least,3篇TierA全为A1,不适用,2018年后0次,2011-2017,仅smoke,Elsevier+IEEE Access+Fire Safety,纯年代标记,high(作年代标记),no(不作当代建议),写当代论文不得使用
I9,Introduction,章节路线句展开到小节级,Introduction最后一句,路线句本身是模板但展开到小节有辨识度,若写则用 The remainder of this paper is organized as follows 起头并用省略并置映射小节,Section II-A/II-B/II-C,3篇TierA,一致,8篇无路线句含36(2025 A1),2019-2022,仅smoke,IEEE+Elsevier,路线句本身是期刊模板句,low(路线句)/medium-high(小节级),yes(仅小节级),不得当作必写项
R1,RelatedWork,分类轴按技术谱系切不按时间切,规划RW小节,小节标题全是技术路线或任务名,命名为技术路线或任务;时间顺序只在小节内体现,小节标题,11篇TierA,09/10 成立,"01/11/16/19/20/30有RW但不分小节",2019-2026,全覆盖,IEEE+Elsevier,领域普遍做法,high,yes,不得用 Traditional methods/Deep learning methods 当小节标题
R2,RelatedWork,末小节留给本文贡献所属谱系,小节排序,让RW结尾自然接上定位段,排序为 一般任务-本文任务-本文贡献所在机制,小节顺序,8篇TierA,09/10 成立,"02/04/08把任务节放最后",2021-2026,全覆盖,IEEE+Elsevier,无,medium-high,yes,不得结束在与本文贡献无关的小节
R3,RelatedWork,一句一方法的枚举节奏,小节内部铺陈文献,一个句子处理一个工作,<第一作者姓> et al. [n] proposed/presented/used <方法> which <一句机制说明>,et al. [n] proposed,10篇TierA,一致,"02清洗版括号引用为0(提取产物不可用)",2016-2025,全覆盖,全部,计算机视觉综述通用写法,high(节奏)/low(个人风格),no(仅保留叠加的缺陷从句),不得把三四个工作合并成一句
R4,RelatedWork,缺陷从句紧贴方法句并收敛到本文要补的信息,铺陈完文献准备转向自己,边铺边评而非攒到末尾,方法句后直接加 but/however <具体缺陷>;小节末归并成一类信息缺失,but/however,8篇TierA,一致,无,2016-2024,全覆盖,全部,无,high,yes,不得写无指向的批评
R5,RelatedWork,RW以定位段收尾,RW最后一段,把综述与自己的方法缝合,肯定式 Inspired by <成功路线> we also <动作> 或否定式 However above-mentioned methods do not <缺陷>;段内必有显式差异化,Inspired by/However above-mentioned,13篇TierA,09/10 成立,36(2025 A1)的定位段最弱只说仍有改进空间,2016-2026,全覆盖,全部,样本量19非22,high,yes,不得以最后一篇被引文献结束
R6,RelatedWork,above-mentioned作标准回指装置,回指前文提到的一批方法,高频集合回指,above-mentioned methods/the aforementioned,above-mentioned(29次其中18次在Front),12篇TierA,一致,03同篇内 abovementioned 与 above-mentioned 拼写不统一,2011-2025,全覆盖,全部,通用学术英语,medium(偏好)/low(独占性),no,不得为拟合风格故意写错拼写
R7,RelatedWork,自引用第三人称化不标注,引用自己的前作,把自己前作与他人放在同一叙述层,Yuan et al. [n] <过去时动词> <方法> 与相邻他人句式完全一致,Yuan et al. [n],8篇TierA,一致,19号唯一用第一人称 In our previous work we proposed,2017-2023,smoke+medical,全部,无,medium-high,yes,自引后不得加自我背书
R8,RelatedWork,用抽象层级差控制与Introduction的重叠,两节都要写文献,Introduction给路线RW给方法,Introduction只说业界试过N条路不点方法名;RW展开成小节逐篇点名附缺陷,层级差,4篇TierA,一致,03违反此条,2019-2023,smoke+medical,IEEE+Elsevier,无,medium-high,yes,不得在Introduction给方法级逐条评述
R9,RelatedWork,跨谱系借用时声明合并各自优点,本文方法是两种既有路线的结合,给结合类工作一个合法性依据,Combinative methods can keep individual benefits of different algorithms 或 Features by different methods have respective advantages,Combinative methods,3篇TierA,不适用,12与13措辞几乎同句且共用引用[33]独立证据仅两组,2016-2024,smoke+medical,Elsevier+IEEE,文本复用,medium,yes,不得滥用成为回避论证的借口
M1,Methods,Methods开头给总览小节并交代数据流,Methods第一小节,先讲整体再拆模块,第一小节命名 Architecture Overview/The Overall Structure/Overall Pipeline;含输入尺寸-各阶段-交给哪个模块-如何输出,Architecture Overview,9篇TierA,09/10 成立,"02把Network architecture放最后;16的总体框架在3.4",2019-2026,全覆盖,IEEE+Elsevier,无,medium-high,yes,总览里不得给公式
M2,Methods,每个组件小节首句先重述要解决的问题,进入任何组件小节,不允许模块凭空出现,首句写 To <目的>/To address this problem we <propose> <模块>;随后才给操作与公式,To address this problem,17篇TierA,09/10 成立,"20仅1个;31/21/17各约4个;触发条件是模块是否原创",2011-2026,全覆盖,全部,与X1同源,high,yes,不得先名后用;一节不得引入两个新模块
M3,Methods,模块内部按输入-操作-中间表示-输出推进且尺寸显式,描述单个模块机制,让读者能照着实现,给输入张量符号与尺寸;逐步描述变换;说明中间表示;给输出尺寸与输入的关系,first ... then ... finally,5篇TierA,09/10 成立,无,2016-2026,全覆盖,全部,部分是深度学习论文通行做法,medium-high,yes,不得用 经过若干卷积后 这类模糊表述
M4,Methods,公式后紧跟where逐符号定义,给出任何公式,公式只作形式化记录解释交给文字,公式编号后立刻 where <符号> is <含义> ... and <符号> is ...;多个同类符号用respectively收束,where ... respectively,全22篇,一致,20号13个公式引用仅2个where(符号沿用文献惯例),2011-2026,全覆盖,全部,学术写作通行规范,high(做法)/low(个人风格),no,不得把符号定义拆散到后文
M5,Methods,损失函数是Methods最后一个小节,安排Methods小节顺序,损失是把模块联合训练的收口,末小节命名 Loss Function/Joint Loss Function/Training Loss/Deep Supervisions;逐项列出分量损失与监督对象,Loss Function,9篇TierA,09/10 成立,"02把Count loss嵌在模块内;12/05无独立损失小节;手工特征7篇无损失小节(等价位置是分类器小节)",2019-2026,全覆盖,IEEE+Elsevier,范式条件,high(深度学习论文),yes,不得只给总损失公式而不说明各项监督什么
M6,Methods,前提在前后果在后用逗号so收尾,说明设计选择的必然性,读起来是推导而非宣告,"<可核验前提>, so <后果或约束>",", so",5篇TierA,09/10 成立,"08/10/36的Methods里为0;A3密度仅0.5/k",2012-2025,全覆盖,全部,执笔人敏感(A3最低),medium-high,yes,不得倒写成 Therefore we design X because Y
M7,Methods,借用外部数学工具时先复述再改造,方法建立在成熟算子上,让读者先掌握工具再看改动,专设一个小节讲清该工具含公式;后续小节讲自己的改动,2.1 Local Binary Patterns,6篇TierA,不适用,纯网络论文9篇无复述小节,2011-2025,全覆盖,全部,触发条件是是否借用外部工具而非年代,high,yes,复述小节不得夹入自己的改动
RS1,Results,消融在前比较在后,安排Results小节顺序,先让读者接受模块的合法性,Ablation Studies 放在 Comparison with SOTA 之前,小节顺序,8篇TierA,09/10 成立,"05/08/12/18 比较在前(横跨2019-2025不构成年代趋势)",2019-2026,全覆盖,IEEE+Elsevier,无,medium-high,yes,不得把消融拆散插在各比较小节之间
RS2,Results,每个观察挂在显式证据锚点上,陈述任何实验观察,不允许无出处的结论,先写 Table N lists/As shown in Table N 再写观察,Table N lists,10篇TierA,一致,04与36的锚点句仅3条,2016-2025,全覆盖,全部,锚点化是领域惯例,high(做法)/medium(个人风格),yes,不得写实验表明我们更好而不指表号
RS3,Results,因果解释分两档hedge,解释某个数字为什么高或低,按读者能否自己核验来选hedge强度,可核验的架构或数据事实用 The reason is that;不可核验属性或不利结果用 The reason may be that,The reason may be that,"flat 15篇 hedge 11篇",09/10 仅用flat,"02用hedge解释可核验设计;09用flat解释自身局限;04改用We conjecture/suspect/think;17与21无因果解释句",2016-2025,全覆盖,全部,执笔人敏感(A3的hedge密度最低),medium-high,yes,解释自己失败时不得用flat式断言
RS4,Results,次优结果用非对称让步,某指标输给对比方法,不隐藏但把注意力引到占优维度,先承认 <对手> achieves slightly higher <指标>;紧接 but/although ... obviously/distinctly/nearly <另一指标>,slightly vs obviously/distinctly,6篇TierA,09/10 退化为comparable,Tier B用性能持平加代价更低路线副词对立消失,2016-2023,smoke+medical,全部,执笔人敏感,high(A1/A2层),yes,不得只报赢的指标
RS5,Results,消融与模块一一对应且用递进式变体,设计与描述消融,形成可追溯闭环,每个模块设一个变体;变体按基线-加一个-再加一个排列;给出掉多少并说明该模块负责什么,selectively remove,8篇TierA,09/10 成立,"21与30无消融小节;31与17亦无独立消融",2019-2026,全覆盖,全部,无,high(2019后),yes,不得出现Methods有但消融未测的模块
RS6,Results,真实场景与视频测试单列小节,主实验用合成或公开数据集,把真实数据当泛化性论证,比较小节后加 Experiments on real smoke scenes/Test on videos 小节;定性图为主,Test on videos,11篇TierA,09/10 成立,无,2012-2025,主要smoke,全部,主题条件,high(限smoke),yes,不得把真实场景结果混进主比较表
RS7,Results,Results只做观察与机制解释不做意义升华,写Results收尾句,意义局限未来工作留给Conclusion,观察句后最多一句机制解释然后进下一个锚点,so it means that,全22篇,一致,08的Limitations子节在Results内但有独立小节标题属显式例外,2011-2026,全覆盖,全部,无,high,yes,不得在Results写future work
RS8,Results,实时性与复杂度作为独立维度报告,论文声称轻量或高效,代价是一等指标,单列 Real-Time Inference Performance/Lightweight experiments 小节;报参数量FLOPs FPS;与精度形成取舍陈述,57x fewer parameters,6篇TierA,09/10 成立,无,2022-2026,全覆盖,全部,无,high(轻量类),yes,不得用 很快 这类无数值表述
D1,Discussion,若写独立Discussion则用来交代系统级限制,目标期刊要求独立Discussion,唯一样本一句结果都没复述,按 速度实测-与门槛比较-对训练集的依赖-未知场景性能不可知-能力下限-解决方向 顺序写,That is the lower limit,1篇(21 A1独著),不适用,无可比对象,2011,仅smoke,Fire Safety Journal,单篇依赖,low,no(留档),不得在Discussion复述结果数字
D2,Discussion,局限性子节放Results末尾,不想单开一章但要交代局限,用显式小节标题隔开,命名 F. Limitations of our method;先总判断再 The main reasons are as follows First Second Third,Limitations of our method,1篇(08 A2),不适用,无,2019,仅smoke,Neurocomputing,单篇依赖,low,no(留档),不得把全部局限归到任务难度上
D3,Discussion,标题上声明Results与Discussion合并,解释与观察高度交织,避免被读者当成结构错误,Results小节标题写成 Experiments and discussion;局限仍放Conclusion,Experiments and discussion,1篇(12 A2),不适用,无,2023,medical,Pattern Recognition,单篇依赖,low,no(留档),不得无标题声明就把Discussion混进Results
D4,Discussion,默认不写独立Discussion把内容三分,绝大多数情况,这是他的实际主流做法,机制解释进Results;局限与未来工作进Conclusion末段;文献对比判断进RW定位段,无,18篇,一致,"21/08/12 三种例外形态各1篇",2011-2026,全覆盖,全部,无,high,yes,不得为凑章节完整性硬造Discussion
D5,Discussion,独立Discussion的最小骨架,必须写独立Discussion时,从三种形态反推,让步式总判断-First/Second/Third枚举局限给机制-区分任务固有难点与方法自身缺陷-工程代价单列-收尾给解决方向-不复述结果,Although ... there is a long way,推断骨架,不适用,11号那段Firstly/Secondly/Thirdly是清洗者合成的严禁引用,不适用,不适用,不适用,单篇依赖加推断,low,no(留档),不得把11号的Discussion当证据
C1,Conclusion,开头重述难点且比摘要更具体,Conclusion第一句或第一段,不用本文提出了直接开场,第一句给对象属性导致的难点可用1到3句展开,Smoke has properties of ...,11篇TierA,一致,"03/04/06/13/18直接用In this paper we propose开场;09/16/30/36用To improve开场",2011-2025,全覆盖,全部,无,medium-high,yes,不得引入摘要与Introduction都没提过的新难点
C2,Conclusion,模块复述保留目的从句,Conclusion逐个回顾模块,与摘要及Methods保持同一句法,每个模块写成 To <目的> we <propose/introduce/adopt> <模块>;措辞换但结构保留,To enlarge receptive fields ... we stack,13篇TierA,09/10 密度为0,无,2011-2026,全覆盖,全部,与X1同源;密度受年代与venue影响,high,yes,不得与摘要用完全相同的句子
C3,Conclusion,与摘要的信息差,判断Conclusion写什么,不是摘要的缩写,增加难点展开机制细节局限与未来工作;保持结论强度不变;不增加新数字与新对比对象,无,全22篇,一致,21在Conclusion引入摘要没有的新论据(硬件成本下降),2011-2026,全覆盖,全部,无,high,yes,不得在Conclusion第一次给出数字
C4,Conclusion,时态分工,写Conclusion动词,方法是主张实验是做过的事,方法用现在时主动;实验用过去时,we propose vs We performed,全22篇,一致,"17/21/20/30用被动式方法复述;03(2023)仍有一处残留",2011-2026,全覆盖,全部,被动语态高低是纯年代效应已剔除,medium-high(仅保留时态分工),yes(仅时态),不得同篇混用两种语态复述同类模块
C5,Conclusion,局限与未来工作段给机制不只给现象,Conclusion最后一段,他写的局限普遍带机制,单独一段;先说局限给机制;再说未来方向给具体做法,Although our method achieves ... our limitation lies in,9篇TierA,09/10 成立,"16(2018)是早期反例且机制写得最细;13篇2022年前无此段",2018-2026,全覆盖,全部,年代趋势与失效机制可分析性两解释未分离,high(趋势)/medium(机制),yes,不得写 未来我们将进一步改进方法 这类空话
C6,Conclusion,坦诚式限定主动降低自己组件的必要性,某组件其实可选或某论断无法证明,主动说出而不让读者自己发现,单句插在正常肯定叙述里不加辩解,However LPP is not compulsory,2篇TierA(19与21),不适用,仅三处证据,2011-2016,仅smoke,Elsevier+Fire Safety,数量少但性质高度一致,medium,yes,不得变成通篇自我怀疑
V1,Figures,图注分两档,写任何图注,按图的角色两极分化,架构与算子示意图用一个名词短语5到15词;定性比较与消融图用长枚举30到60词,Fig. N. <名词短语>.,5篇TierA,09/10 成立,"20全篇6条平均7.2词0个子图标记;30为12.8词",2011-2025,全覆盖,全部,无,high(两档分化)/medium(词数区间),yes,不得给架构图写长段解释
V2,Figures,多面板顺序固定our-method永远最后,做定性对比图,可机械校验的硬规则,(a)输入-(b)ground truth-(c)到(x)对比方法按主表顺序-末位our method,and (k) our method,6个多面板图零反例,一致,无,2020-2024,smoke+medical,IEEE,无,high,yes,不得把our method放中间或第一
V3,Figures,颜色语义在图注显式定义且每张重复,图里用颜色或线型编码语义,不依赖读者记住前面的约定,图注末尾加颜色线型约定说明;同一约定在后续每张图注原样重复,The red curves are ground truth contours,主证据1篇(13重复5次),一致,13的五次重复间措辞有微小漂移(are/denote互换)属真实手写痕迹,2024,medical,IEEE,主证据集中单篇,medium-high,yes,不得写 颜色含义同上图
V4,Figures,消融图用递进式面板,用图说明消融设计,图注本身构成消融逻辑说明,面板从最简基线开始每个增加一个组件;图注逐条写出该面板包含什么,Fig. 8. Ablation analysis. (a)...(d),1篇完整范例(01),一致,无,2020,smoke,IEEE,单篇完整证据但与RS5互相印证,medium,yes,不得在消融图里同时改两个组件
V5,Figures,表格标题是单行名词短语,写表格标题,只说比较什么在哪个数据集上,<Comparisons/Experiments> <of什么> <on哪个数据集> 一行结束,TABLE III. Comparisons with ...,全22篇,一致,大小写形式三种并存完全由venue决定,2011-2025,全覆盖,全部,大小写是venue模板已剔除,high(单行名词短语)/剔除(大小写),yes(仅单行名词短语),不得在表标题写结论
V6,Figures,图的角色分工七类且位置固定,规划全文配图,图集合有规律,难点示例图进Introduction;概念模型图与总体架构图进Methods;模块细节图进各组件小节;消融图与定性比较图进Results;失败案例图进Conclusion局限段或Results末尾,七类角色,4篇可完整对应,09/10 部分成立,20与30的图体系过于简约无法核对七类是否齐全,2011-2025,全覆盖,全部,无,medium-high,yes,不得把失败案例图放在比较图之前
V7,Figures,必须剔除的出版社插入句,写图注,不是作者写的,识别并删除 (For interpretation of the references to colour in this figure ...),Elsevier插入句,不适用,不适用,出现在21号Fig.6/10/12,2011,smoke,Elsevier,纯出版社模板,剔除,no,生成时不得复现该句
MS1,Microstyle,句长在四节之间几乎不变,控制句长,不用句长区分章节功能,目标17到22词;Methods允许少量长句承载完整变换链;Conclusion控制在25词内,句长均值19.1到21.9,全22篇中位数稳定,一致,"Kang Li参与的四篇Conclusion句长26.6;A1晚期Methods 25.6",2011-2026,全覆盖,全部,合作者效应(Conclusion),high,yes,Conclusion不得出现超40词的句子
MS2,Microstyle,段落长度是区分章节的手段,控制段长,Conclusion是Methods的两倍,Methods与Results每段80到90词一段一个模块或一个锚点;Conclusion允许150到200词单一长段,段长中位数164/126.5/85.2/81.6,全22篇顺序一致,一致,无,2011-2026,全覆盖,全部,无,high,yes,Methods不得写超过120词的段落
MS3,Microstyle,Conclusion不hedge不用因果尾句不用证据锚点,写Conclusion主体,不确定性集中到局限段处理,主体段落用无hedge陈述句;不放表号图号;不用逗号so句,hedge/boost/asshown中位数均为0,全22篇,"09/10 的Conclusion有hedge 4.8与booster",无,2011-2026,全覆盖,全部,Kang Li参与的四篇Conclusion保留被动与booster,high,yes,不得把局限散成句内hedge
MS4,Microstyle,名词化与缩写反向分布Results最动词化,选择抽象层级,Front与Conclusion抽象Results具体,Front与Conclusion用抽象名词化表述;Results换短句加缩写加具体数值,名词化91.8/85.8/61.4/51.2,全22篇章节间落差一致,一致,名词化绝对水平是主题词汇效应已剔除,2011-2026,全覆盖,全部,主题效应(绝对水平)已剔除,medium-high(仅落差),yes(仅落差),不得在Results用长名词化短语
S1,SentencePattern,方法到目的,见X1,见X1,见X1,To ... we propose,见X1,见X1,见X1,2016-2026,全覆盖,全部,与X1同源,high,yes,见X1
S2,SentencePattern,现状到缺陷,评述某类方法,先说能做到什么再说丢了什么,概述能力后用 but/however/Although 指出丢了什么信息,discard/not involve/lose,见X2,一致,"17与21用统计学习语言",2016-2026,全覆盖,全部,年代下限2016,high,yes,不得写 the performance is limited
S3,SentencePattern,前提到后果,见M6,见M6,见M6,", so",见M6,见M6,"so that全语料仅6次且4次集中在16号不构成习惯",2012-2025,全覆盖,全部,执笔人敏感,medium-high,yes,见M6
S4,SentencePattern,操作到解释,见M4,见M4,见M4,where ... respectively,见M4,见M4,见M4,2011-2026,全覆盖,全部,学术写作规范,high(做法)/low(风格),no,见M4
S5,SentencePattern,证据锚点到观察,见X6与RS2,见RS2,分离式或合写式,we find that,见X6,见X6,见X6,2016-2025,全覆盖,全部,领域惯例,medium-high,yes,见RS2
S6,SentencePattern,观察到比较,见RS4,见RS4,见RS4,slightly vs obviously,见RS4,09/10退化,见RS4,2016-2023,smoke+medical,全部,执笔人敏感,high,yes,见RS4
S7,SentencePattern,比较到结论或限定,见RS3,见RS3,见RS3,The reason may be that,见RS3,见RS3,见RS3,2016-2025,全覆盖,全部,执笔人敏感,medium-high,yes,见RS3
S8,SentencePattern,段尾到承接,写段落收尾,三种收尾按段落功能选,定位式(RW与Introduction评述段)/消融结论式(Results)/前提后果式(Methods),Inspired by/so it means that,见R5与RS5,一致,无,2016-2026,全覆盖,全部,无,high(定位式)/medium(其余),yes,不得让段落停在最后一篇被引文献上
CX1,Construct,not-only-but-also成对绑定价值点,贡献陈述与结果陈述,把两个价值点绑在一句里,X not only A but also B,not only(35次全语料最高频),"06(6次)05(5次)16(4次)03(3次)",一致,通用英语构式,2011-2026,全覆盖,全部,通用英语构式,medium,yes(仅用法),不得滥用成为堆砌
CX2,Construct,we-find-that,见X6,见X6,见X6,we find that(30次23次在Results),见X6,一致,见X6,2016-2025,全覆盖,全部,无,medium-high,yes,见X6
