"Paper_ID","shard","section_canonical","section_original_heading","start_anchor_or_line","end_anchor_or_line","anchor_type","quality_notes","issues_fixed"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Introduction","1. Introduction","S008","S015","block_anchor","high","contribution list re-split into numbered items"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Methods","3. Cubic-cross and count prior attentions (3.1-3.3)","S025","S067","block_anchor","high; equations mostly clean","subsection headings normalized to H3/H4"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Other","Declaration of Competing Interest; Author biographies","S095","S104","block_anchor","high","declaration and bios segregated from body"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","References","References","S099","S100","block_anchor","medium; source provides a condensed/summary reference block rather than itemized entries; preserved verbatim with an explanatory note","reference summary flagged; not expanded to avoid invention"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","RelatedWork","2. Related work (2.1-2.3)","S016","S024","block_anchor","high","none"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Results","4. Experimental results (4.1-4.6)","S068","S092","block_anchor","high; setup (4.1-4.2) and results (4.3-4.6) are separate subsections in source","captions moved to blockquotes"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","Title","(title block)","S001","S004","block_anchor","high; title/byline/affiliations intact","none"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Abstract","Abstract","S002","S004","block_anchor","high; keywords glued to '1. Introduction' text in S004 and separated","section-title glue (Keywords + 1. Introduction in one block)"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Acknowledgments","Acknowledgments","S072","S072","block_anchor","high; funding statement verbatim","heading glue"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Conclusion","5. Conclusions","S074","S074","block_anchor","medium; conclusion text was interleaved line-by-line with reference entries inside S074 and extracted out","reference-list contamination of Conclusions body"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Discussion","(absent)","","","none","no standalone Discussion in source","noted absence"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Introduction","1. Introduction","S004","S012","block_anchor","medium-high; severe two-column interleaving repaired","dual-column disorder; contribution list re-split; co-first-author footnote (S007) moved to Other"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Methods","3. (proposed lightweight network; 3.1-3.x)","S020","S048","block_anchor","medium; Eqs. (1)-(8) reassembled from fragments (false-heading formula debris S040/S043/S046/S053); reconstruction flagged inline","broken formulas; caption/body mix; dual-column disorder"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Other","Declaration of Competing Interest; footnotes; author biographies","S070","S081","block_anchor","high","front-matter footnote and bios segregated"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","References","References","S073","S074","block_anchor","medium; entries individually reconstructed from text interleaved with Conclusions","reference-list contamination; interleave untangled"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","RelatedWork","2. Related work (2.1-2.2)","S013","S019","block_anchor","medium-high","heading glue (2. Related work 2.1. ... in one block); cross-column paragraph joins"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Results","4. Experimental results (4.1-4.x)","S049","S069","block_anchor","medium-high; loss-weight ablation table truncated in source and flagged rather than guessed","table truncation flagged; setup vs results kept as source subsections"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","Title","(title block)","S001","S001","block_anchor","high","none"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Abstract","Abstract","S002","S003","block_anchor","high; Index Terms kept","none"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Acknowledgments","(absent)","","","none","not present in extraction","noted absence"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Conclusion","V. CONCLUSION","S073","S075","block_anchor","high","heading glue (V. CONCLUSION glued to first sentence)"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Discussion","(absent)","","","none","no standalone Discussion; inter-class similarity analysis kept under Results","noted absence"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Introduction","I. INTRODUCTION","S004","S016","block_anchor","medium-high; drop-cap artifact ('I. INTRODUCTION F' + 'IRE') normalized","OCR drop-cap; dual-column disorder; contributions re-split"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Methods","III. THE PROPOSED METHOD (A-E)","S024","S048","block_anchor","medium; Eqs. (1)-(17) reassembled from scattered fragments (e.g. false-heading debris S033/S035); flagged inline","broken formulas; section-title glue; module descriptions split across columns; 2 NUL bytes inside broken formula blocks removed"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Other","Author affiliations; author biographies","S076","S086","block_anchor","medium; bios disentangled from reference fragments","bios segregated"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","References","REFERENCES","S076","S086","block_anchor","medium; 72 entries reconstructed from two-column interleave that also mixed author-bio text","reference-list contamination; two-column interleave untangled"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","RelatedWork","II. RELATED WORK","S017","S023","block_anchor","medium-high; contribution-like text mixed into related work reordered","dual-column disorder"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Results","IV. EXPERIMENTAL RESULTS (A-E)","S049","S072","block_anchor","medium-high; ablation tables described in prose; table contents absent from extraction","caption/body mix; cross-column reordering"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","Title","(title block)","S001","S003","block_anchor","high","none"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Abstract","Abstract","L29","L32","line","verbatim; keywords kept","dual-column join"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Acknowledgments","Acknowledgments","L263","L266","line","verbatim funding statement",""
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Conclusion","5. Conclusions","L247","L254","line","unglued from interleaved reference lines","reference-list contamination of body"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Discussion","(none)","","","none","missing as separate section",""
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Introduction","1. Introduction","L33","L52","line","severe two-column interleaving repaired; corresponding-author footnote removed","dual-column disorder; footnote contamination"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Methods","3. The proposed method","L73","L182","line","equations (1)-(18) reassembled from fragments; lost superscripts restored; flagged inline for PDF verification","broken formulas; dual-column disorder"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Other","Appendix: Figure and Table Captions","L277","L323","line","verbatim captions segregated","caption/body mix"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Other","Data availability","L267","L270","line","verbatim",""
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Other","CRediT authorship contribution statement","L255","L258","line","verbatim",""
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Other","Declaration of competing interest","L259","L262","line","verbatim",""
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","References","References","L271","L276","line","entries EXCLUDED: list interleaved line-by-line with Conclusions text and author bios (S077-S081); verbatim reconstruction unreliable; stub note kept","reference-list contamination of body"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","RelatedWork","2. Related work","L53","L72","line","fragment joins across columns/pages","dual-column disorder; OCR spacing"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Results","4. Experimental results","L183","L246","line","numeric table rows removed from body blocks; captions moved to appendix","table-data pollution; caption/body mix"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","Title","(title block)","L17","L28","line","title/byline/affiliations and article-info block reconstructed from interleaved front matter","dual-column disorder"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Abstract","(untitled abstract)","S006","S006","block_anchor","high","none"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Acknowledgments","Acknowledgments","S104","S104","block_anchor","high","unglued heading from body (S104)"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Conclusion","5. Conclusions","S098","S099","block_anchor","high","none"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Discussion","(absent)","","","none","no standalone Discussion; analysis embedded in Section 4","noted absence"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Introduction","1. Introduction","S008","S016","block_anchor","high; final sentence of S016 truncated in extraction","dropped dangling column-break fragment (S010); re-split enumerated contribution list (S015); flagged truncation (S016)"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Methods","3. The proposed method","S028","S051","block_anchor","medium-high; Eqs. (2)(3)(4)(6) garbled in text layer and flagged","unglued section-title glue (3.1.1/3.1.2 headings inside body blocks); merged S030+S031/S034+S035/S046+S047 across column breaks; removed duplicated column-break fragments"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Other","(captions/declarations/data availability)","C001","C016","block_anchor","captions kept caption-only","caption double-periods fixed (Fig. 1. . -> Fig. 1.); Declaration of competing interest and Data availability unglued"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","References","References","S106","S118","block_anchor","high","unglued References heading from first entry (S106)"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","RelatedWork","2. Related works","S017","S027","block_anchor","high","merged S023+S024 across p2-p3 break; fixed stray periods after citation brackets; fixed [30]] bracket"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Results","4. Experiments and results","S052","S097","block_anchor","high; results and experimental setup are separate subsections (4.1 vs 4.3/4.4)","unglued 4.1.1/4.1.2/4.3.1-4.3.4/4.4.1-4.4.3 headings; excluded table numeric rows (S067 S068 S075 S083-S085 S089 S090 S095); merged across table interruptions (S082+S086 S094+S096 S074+S076 S088+S091); SYN70 K -> SYN70K"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","Title","(title block)","S001","S005","block_anchor","high","byline/affiliation blocks reordered into standard order"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Abstract","Abstract","L20","L25","line","verbatim; Index Terms kept",""
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Acknowledgments","(none)","","","none","not present in extraction",""
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Conclusion","V. CONCLUSION","L222","L225","line","clean",""
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Discussion","(none)","","","none","missing as separate section",""
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Introduction","I. INTRODUCTION","L26","L47","line","drop-cap artifact (D/EEP) normalized; first-page footnotes removed","OCR; footnote contamination"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Methods","III. THE PROPOSED METHOD","L74","L164","line","GRU equations (1)-(6) and loss/metric formulas (7)-(11) reconstructed from heavily garbled fragments; flagged inline for PDF verification; [...] markers where text was lost","broken formulas; dual-column disorder"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Other","Appendix: Figure and Table Captions","L232","L266","line","verbatim captions segregated","caption/body mix"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","References","REFERENCES","L226","L231","line","entries EXCLUDED: only [1]-[13] present (S094-S095, flagged uncertain), remainder missing; stub note kept","truncated reference list"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","RelatedWork","II. RELATED WORK","L48","L73","line","column-truncated paragraphs rejoined","dual-column disorder"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Results","IV. EXPERIMENTAL RESULTS","L165","L221","line","subsection IV.D heading lost in extraction (headings jump C to E); some content lost, marked with [...]; table captions moved to appendix","caption/body mix; truncation flagged"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","Title","(title block)","L16","L19","line","split title/byline reconstructed; venue header stripped","headers/footers; dual-column disorder"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Abstract","Abstract","L23","L28","line","verbatim; keywords kept",""
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Acknowledgments","ACKNOWLEDGMENTS","L215","L218","line","verbatim funding statement, unglued from body",""
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Conclusion","VI. CONCLUSIONS","L211","L214","line","clean",""
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Discussion","F. Limitations of our method (inside Results)","L205","L210","line","merged: limitations subsection inside Section V acts as discussion","Results/Discussion merged"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Introduction","I. INTRODUCTION","L29","L48","line","duplicated paragraph deduplicated; intro/related-work interleaving repaired","duplicate paragraphs; dual-column disorder"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Methods","III. DATASET GENERATION FOR SMOKE BINARY SEGMENTATION; IV. TWO-PATH FULLY CONVOLUTIONAL NETWORKS","L75","L136","line","two top-level sections both map to Methods; equation (5) and (6)-(8) reconstructed from shattered fragments, flagged for PDF verification","broken formulas; section-title glue"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Other","Appendix: Figure and Table Captions","L225","L272","line","verbatim captions segregated","caption/body mix"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","References","REFERENCES","L219","L224","line","entries EXCLUDED: list interleaved line-by-line across columns and with the Limitations subsection (S091, S094, S095); stub note kept","reference-list contamination of body"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","RelatedWork","II. RELATED WORK","L49","L74","line","body text recovered from figure-caption blocks","caption/body mix"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Results","V. EXPERIMENTAL RESULTS","L137","L210","line","numeric table rows removed from body; 'F. Limitations of our method' (L205-L210) serves as de facto discussion","table-data pollution; Results/Discussion merged"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","Title","(title block)","L19","L22","line","preprint layout; title/byline reconstructed; manuscript/funding front matter removed from intro text","footnote contamination"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Abstract","Abstract","S003","S005","block_anchor","high; Index Terms kept","none"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Acknowledgments","(absent)","","","none","not present in extraction","noted absence"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Conclusion","V. CONCLUSION","S076","S078","block_anchor","high; future-work paragraph recovered from block glued to TABLE VII caption (S078)","caption/body mix"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Discussion","(absent)","","","none","no standalone Discussion in source","noted absence"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Introduction","I. INTRODUCTION","S006","S015","block_anchor","medium-high; paragraph order restored (S007->S008->S012->S013->S014->S015+S009->S010->S011); mid-sentence truncation after 'including DSS' flagged","dual-column disorder; contribution list re-split; truncation flagged"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Methods","III. THE PROPOSED METHOD (A-G)","S024","S049","block_anchor","medium; every displayed equation (1)-(22) was fragmented at column breaks and reassembled (notes inline); C004 was body text mislabeled as caption","broken formulas; caption/body mix; section-title glue (A-G headings glued mid-block); severe dual-column interleave (S026/S032/S033/S038/S040/S042/S048)"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Other","(none beyond figure captions)","","","none","no bios/affiliations present in extraction","duplicated caption prefixes (Fig. 1. Fig. 1.) deduplicated; Chinese caption anchors (F010/F011) replaced by English caption text"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","References","REFERENCES","S079","S084","block_anchor","medium; 50 entries; [12]-[50] were two-column interleaved and reassembled; seam between [14]/[33]/[34] ambiguous and noted inline","reference-list two-column interleave untangled; entries [10]/[11] recovered from blocks glued to body text (S081)"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","RelatedWork","II. RELATED WORK (A-C)","S016","S023","block_anchor","medium-high; subsection order restored (A S017-S018; B S022-S023+S019-S020; C S021+S023-tail)","section-title glue (A./B./C. glued to body); cross-column paragraph splice inside S023"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Results","IV. EXPERIMENTS AND RESULTS (A-F)","S050","S075","block_anchor","medium-high; C011 was body text mislabeled as caption; TABLE VI caption garbled ('SSmoke SEGMEN...TATION') and reconstructed with note","caption/body mix; cross-column reordering; loss-eq/setup text interleaved with metric text"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","Title","(title block)","S001","S002","block_anchor","high","none"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Abstract","Abstract","S003","S005","block_anchor","high; Index Terms kept","none"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Acknowledgments","(absent)","","","none","not present in extraction","noted absence"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Conclusion","V. CONCLUSION","S079","S088","block_anchor","medium-high; conclusion split across S088+S079+S080 and limitation paragraph glued to TABLE VII caption (S081)","caption/body mix; cross-page splice"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Discussion","(absent)","","","none","no standalone Discussion in source","noted absence"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Introduction","I. INTRODUCTION","S006","S019","block_anchor","medium-high; S010 was a duplicated copy of the first paragraph glued to an affiliation footnote (removed; footnote moved to Other); S011+S014 rejoined mid-sentence","header/footer duplication; dual-column disorder; contribution list re-split (S018/S019/S012)"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Methods","III. PROPOSED METHOD (A-E)","S024","S046","block_anchor","medium; Eqs. (2) (4) (10)-(15) fragmented at column breaks and reassembled (notes inline); C003 was body text mislabeled as caption; GMDF/HFAM text interleaved inside S039/S040","broken formulas; caption/body mix; section-title glue; severe intra-block interleave"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Other","Author affiliations (first-page footnote)","S010","S010","block_anchor","medium; only Kang Li's affiliation survived extraction","footnote separated from duplicated intro paragraph"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","References","REFERENCES","S084","S091","block_anchor","medium; 56 entries; [3]-[56] two-column interleaved AND interleaved with body paragraphs; reassembled with venue-name oddities preserved and noted ([24] page range; [47] 'Int. Conf. Learn. Reinforcement')","reference-list contamination of body; two-column interleave untangled"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","RelatedWork","II. RELATED WORK (A-C)","S013","S027","block_anchor","medium-high; block order restored (A S015/S017/S018-tail; B S020; C S023/S027/S021/S022)","section-title glue; out-of-order blocks across pages"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Results","IV. EXPERIMENTS AND RESULTS (A-F)","S048","S086","block_anchor","medium; dataset/settings/metrics text was interleaved with loss-function text (S043/S044/S046/S050) and re-sorted; real-time analysis text interleaved with reference blocks (S084/S085)","caption/body mix (C011 body text); cross-column and cross-section interleave; table contents absent"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","Title","(title block)","S001","S002","block_anchor","high","none"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Abstract","(untitled abstract)","S005","S005","block_anchor","high","none"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Acknowledgments","Acknowledgments","S107","S108","block_anchor","high","none"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Conclusion","Conclusions","S103","S104","block_anchor","high","Discussion/Conclusion merge resolved (limitations paragraph moved to Discussion)"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Discussion","(absent; split out per canonical scheme)","S102","S105","block_anchor","medium; S105 final sentence truncated (on night...)","separated Discussion-type content merged into Experiments tail (S102) and Conclusions (S105); removed table-header debris from S105"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Introduction","Introduction (unnumbered)","S007","S013","block_anchor","high","removed large internal column re-read duplication in S011; re-split enumerated contribution list (S012)"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Methods","The proposed algorithm","S022","S076","block_anchor","medium; many display equations garbled in text layer (Eqs. 8-12 14 16 20-23 25-29 34-35 flagged)","restored body prose mislabeled as captions (C002 C004 C009 C011); unglued subsection headings; merged split sentences across ~15 block seams; fixed channelminimized/0.0 0 01 artifacts"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Other","(keywords/bios)","S006","S116","block_anchor","high","author-bio OCR fixed (20 04 -> 2004; Xi 'an glyph); bio heading unglued"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","References","References","S109","S110","block_anchor","high","none"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","RelatedWork","Related work","S014","S021","block_anchor","high","hyphenation/line-break artifacts fixed (RoblesKelly endto-end); et al . spacing normalized"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Results","Experiments","S077","S101","block_anchor","medium-high; S095 continuation lost in extraction (RESIDE subset description)","restored caption-mislabeled body prose (C015 C016 C027); removed Table-2 header debris from S097; CIEDE20 0 0 -> CIEDE2000; merged cross-page seams; natual and halo aircrafts preserved as printed source typos"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","Title","(title block)","S001","S003","block_anchor","high","none"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Abstract","Abstract","L24","L29","line","verbatim; keywords kept",""
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Acknowledgments","Acknowledgments","L270","L273","line","verbatim funding statement",""
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Conclusion","5. Conclusions","L256","L261","line","clean",""
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Discussion","4. Experiments and discussion (merged)","L162","L255","line","merged with Results; no separate Discussion heading in original","Results/Discussion merged"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Introduction","1. Introduction","L30","L52","line","swapped paragraph order (S009 before S008) restored based on citation order; cross-page joins","paragraph order; dual-column disorder"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Methods","3. The proposed methods","L83","L161","line","equations (1)-(7), (10), (12)-(14) reconstructed from fragmented blocks; flagged inline for PDF verification","broken formulas; dual-column disorder"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Other","Data availability","L266","L269","line","verbatim",""
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Other","Declaration of Competing Interest","L262","L265","line","verbatim",""
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Other","Appendix: Author biographies","L280","L288","line","retained; OCR spacing '20 04'->'2004' and 'His-research'->'His research' fixed; otherwise verbatim","OCR"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Other","Appendix: Figure and table captions","L289","L312","line","verbatim captions segregated; numeric table content excluded","caption/body mix; table-data pollution"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","References","References","L274","L279","line","entries EXCLUDED: reader block S121 says full entries live only in the PDF (condensed summary, flagged uncertain); stub note kept","non-verbatim reference list"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","RelatedWork","2. Related work","L53","L82","line","ligature artifacts normalized; recurring authorial typo ('long-rang dependency') preserved","OCR; ligatures"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Results","4. Experiments and discussion","L162","L255","line","MERGED Results+Discussion per original heading; glued subsection titles (e.g. 4.1.1. Synapse) split out; numeric table rows excluded","Results/Discussion merged; section-title glue; table-data pollution"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","Title","(title block)","L20","L23","line","title/byline reconstructed; Elsevier header/footer stripped","headers/footers"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","Abstract","Abstract","S004","S006","block_anchor","high; Index Terms kept","none"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","Acknowledgments","(absent)","","","none","not present in extraction","noted absence"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","Conclusion","V. CONCLUSION","S124","S126","block_anchor","high","none"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","Discussion","(absent)","","","none","no standalone Discussion; limitation/failure-case analysis kept in Conclusion per source","noted absence"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","Introduction","I. INTRODUCTION","S007","S018","block_anchor","high; S010->S011 cross-page sentence rejoined","cross-page splice"
