"Paper_ID","Section","words","sents","sent_mean","sent_median","sent_over40","paras","para_mean","passive_k","we_k","our_k","we_propose_k","we_past_k","hedge_k","boost_k","hedge_boost","connect_k","nominal_k","acronym_k","purpose_k","causaltail_k","sothat_n","reason_hedge_n","reason_flat_n","slightly_n","abovement_n","asshown_k","wefind_n","notonly_n","Era","Paradigm","Topic","Venue","Tier","KangLiPaper"
"11","Front","2147","111","19.8","19","1.8","16","136.2","9.8","13","5.6","7.5","0","3.3","3.7","0.88","3.3","63.3","5.1","3.3","0.9","0","0","0","0","0","0","1","0","E2_2020-2026","P1_handcrafted","T2_other","V_Elsevier","A2","no"
"12","Front","2288","110","21.7","21","1.8","21","112.5","7.9","10.5","2.2","7","0","0.9","4.8","0.18","5.7","70.8","33.7","3.5","0.9","0","0","0","0","2","1.3","0","2","E2_2020-2026","P2_deep","T2_other","V_Elsevier","A2","no"
"13","Front","2301","108","22.2","22","2.8","18","132.6","10.4","7.4","3","5.2","0","4.8","3.5","1.38","4.3","63.5","31.7","3.9","0.4","0","0","0","0","2","0","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A2","no"
"16","Front","2149","101","22","20","3","13","169.1","15.4","8.4","0.9","2.8","0","3.3","1.4","2.33","5.1","79.1","16.3","5.1","2.3","0","0","0","0","2","0","1","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"17","Front","974","55","18.1","16","1.8","7","141.3","24.6","1","0","0","0","6.2","1","6","3.1","80.1","9.2","4.1","1","0","0","0","0","0","0","0","1","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"18","Front","1633","82","20.7","19","1.2","9","185.6","9.2","7.3","5.5","4.9","0","2.4","2.4","1","12.9","68","41.6","0.6","0","0","0","0","0","1","3.1","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A3","no"
"19","Front","1717","90","19.3","17","3.3","13","132.7","9.3","9.9","4.1","5.8","0","1.7","1.7","1","5.2","74.5","39","5.2","1.2","0","0","1","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"20","Front","1420","77","18.9","17","0","11","129.4","12.7","7.7","2.1","5.6","0","0.7","1.4","0.5","4.9","91.5","47.9","2.8","2.8","0","0","1","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_IEEE","A1","no"
"21","Front","1148","57","20.8","18","3.5","8","146.2","20","0.9","0","0","0","6.1","1.7","3.5","5.2","86.2","24.4","2.6","1.7","0","0","0","0","1","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"30","Front","1461","72","20.8","19","1.4","19","76.8","11","6.8","0.7","4.8","0","2.7","1.4","2","2.7","74.6","29.4","3.4","1.4","0","0","0","0","1","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A2","no"
"31","Front","1323","70","19","18","0","14","93.6","9.1","12.8","4.5","6.8","0","2.3","2.3","1","3.8","66.5","42.3","1.5","0","0","0","0","0","0","0","0","2","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A1","no"
"36","Front","1366","79","18.3","17","1.3","11","126.5","4.4","8.8","2.2","7.3","0","4.4","3.7","1.2","7.3","114.9","50.5","5.1","0","0","0","0","0","1","0.7","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A1","no"
"01","Methods","2161","102","21.8","19","5.9","30","72.4","6","16.7","2.8","7.9","0","3.7","1.9","2","4.6","65.7","19","4.2","2.8","0","0","0","0","0","1.9","1","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A2","no"
"02","Methods","2169","89","24.9","22","11.2","26","83.2","8.3","15.2","4.1","9.2","0","3.7","0.9","4","3.7","43.3","6.9","4.6","1.8","0","0","0","0","1","4.6","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"03","Methods","1942","89","22.3","18","9","21","90","8.8","17.5","12.9","11.3","0.5","3.6","2.1","1.75","4.1","66.9","24.2","2.6","2.6","0","0","0","0","0","5.1","0","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","yes"
"04","Methods","2086","83","26","24","13.3","21","98.6","9.6","10.1","2.4","5.3","0","2.9","1.4","2","7.2","77.2","34.5","4.3","0.5","0","0","1","1","0","1.4","1","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A3","no"
"05","Methods","1693","79","21.6","17","6.3","24","64.5","8.3","15.4","7.7","6.5","0","3","1.2","2.5","4.1","63.8","8.3","3","3","0","0","0","0","1","3.5","0","2","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"06","Methods","1420","75","19.4","19","1.3","16","91","6.3","17.6","4.9","7","0","1.4","2.8","0.5","4.2","82.4","39.4","5.6","0.7","0","0","0","0","0","2.8","0","3","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A3","yes"
"07","Methods","1783","72","25.6","22","12.5","23","77","6.2","12.3","8.4","5.6","0","3.9","2.2","1.75","2.8","65.6","18.5","5","3.4","0","0","0","1","0","2.8","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A1","no"
"08","Methods","1442","63","23.1","19","7.9","19","76.2","9","20.1","4.9","7.6","0","0","2.1","0","3.5","43","22.9","3.5","0","0","0","0","0","0","0.7","0","0","E1_2011-2019","P2_deep","T1_smoke","V_Elsevier","A2","no"
"09","Methods","2008","94","21.9","20","6.4","27","69.6","11.5","16.9","5.5","8","0","2.5","1","2.5","3.5","74.7","39.3","3.5","1","0","0","0","0","0","1","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"10","Methods","1831","86","21.8","21","3.5","24","70.2","12","14.2","2.2","10.9","0","1.1","0","-1","3.8","71.5","32.2","3.8","0","0","0","0","0","0","0.5","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"11","Methods","3179","164","19.3","18","5.5","33","97","9.4","16","5","5","0","3.8","0.6","6","3.5","46.2","7.5","2.8","0.9","0","0","1","0","2","3.1","1","0","E2_2020-2026","P1_handcrafted","T2_other","V_Elsevier","A2","no"
"12","Methods","1831","83","22.6","20","6","21","88.7","9.8","14.7","7.6","9.3","0","2.2","1.1","2","6","35","38.8","4.4","1.6","0","0","0","0","0","2.7","0","0","E2_2020-2026","P2_deep","T2_other","V_Elsevier","A2","no"
"13","Methods","2448","104","24.2","21","6.7","25","98.3","11.4","10.2","4.5","6.9","0","2.5","2","1.2","4.1","55.6","42.5","3.3","3.3","1","0","0","0","1","1.2","0","1","E2_2020-2026","P2_deep","T2_other","V_IEEE","A2","no"
"16","Methods","3583","166","22.2","20","4.2","51","70.1","21.2","10.9","4.7","4.5","0","1.1","0.8","1.33","6.1","61.4","10.3","2.2","2.8","3","0","1","0","1","3.1","0","1","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"17","Methods","2015","101","20.1","18","5","22","92.3","26.8","0","0","0","0","2","0.5","4","2","55.1","40.7","2","1","0","0","0","0","0","0.5","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"18","Methods","2719","111","25.1","22","11.7","19","146.5","13.2","10.7","1.5","5.9","0","1.1","0","-1","5.9","47.8","28.7","1.1","0.4","0","0","0","0","0","2.6","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A3","no"
"19","Methods","2950","142","20.9","18","6.3","35","81.6","11.9","16.6","2","4.1","0.3","2.4","2.4","1","3.1","36.6","53.2","3.1","0.7","0","0","0","0","1","1.4","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"20","Methods","1664","71","23.7","22","8.5","30","53.1","25.8","12","0.6","4.8","0","3.6","0.6","6","3.6","46.9","25.8","0","2.4","0","0","0","0","0","3","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_IEEE","A1","no"
"21","Methods","1649","86","19.3","18","5.8","24","65.5","19.4","1.8","5.5","0.6","0","1.8","0.6","3","3.6","35.2","47.9","2.4","1.2","0","0","0","0","2","3","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"30","Methods","2052","102","20.3","17","7.8","43","46.2","11.7","15.1","2.9","8.8","0","1","0","-1","5.4","42.9","28.8","2.4","0.5","0","0","0","0","0","1","0","1","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A2","no"
"31","Methods","1908","92","20.8","17","8.7","28","65.4","14.7","17.8","1","6.3","0","3.7","0","-1","5.2","70.2","37.2","2.1","3.7","0","1","2","0","0","4.2","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A1","no"
"36","Methods","1338","64","21.9","22","3.1","11","127.2","11.2","9","0.7","6","0","3","3","1","6","91.2","32.9","3","0","0","0","0","0","0","1.5","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A1","no"
"01","Results","1813","97","19.3","15","4.1","23","81","6.1","22.6","16.5","3.9","2.8","0.6","2.2","0.25","2.2","52.4","19.3","3.3","1.7","0","1","0","0","0","0.6","4","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A2","no"
"02","Results","1416","87","16.6","17","0","23","61.5","6.4","14.1","20.5","1.4","6.4","2.1","1.4","1.5","0.7","42.4","61.4","4.2","0","0","2","1","0","0","1.4","2","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"03","Results","1785","88","20.5","18","4.5","21","81.4","5.6","11.8","30.3","2.2","1.1","2.2","3.9","0.57","5","53.2","29.7","3.4","0","0","0","1","1","0","2.2","1","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","yes"
"04","Results","2802","126","22.6","20","14.3","25","110.4","6.8","13.6","8.2","1.8","0","2.1","3.9","0.55","4.6","65.3","56.4","1.4","0.4","0","0","3","0","0","0.7","2","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A3","no"
"05","Results","2295","129","18","16","1.6","20","116","5.2","14.4","24.4","3.9","2.2","2.2","2.6","0.83","4.8","61.4","30.5","6.1","1.7","0","1","2","0","0","6.1","3","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"06","Results","2298","117","19.9","19","2.6","26","89.4","5.2","17","16.1","2.6","3.9","1.3","2.6","0.5","6.5","80.9","54.8","5.7","0.4","0","1","1","0","0","2.6","1","3","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A3","yes"
"07","Results","1644","78","21.5","20","3.8","20","83.2","1.8","11.6","23.7","1.8","2.4","1.8","4.3","0.43","3.6","56.6","31","3","1.8","0","0","2","0","0","3","1","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A1","no"
"08","Results","1948","104","18.9","17","3.8","23","85.2","9.2","20","14.4","0.5","4.1","0.5","1.5","0.33","5.6","49.3","9.2","1","1","0","0","2","0","0","1.5","2","1","E1_2011-2019","P2_deep","T1_smoke","V_Elsevier","A2","no"
"09","Results","2101","112","19","18","2.7","32","65.6","5.7","9","20.9","1","3.8","2.4","4.8","0.5","6.2","69","64.3","2.9","0","0","0","2","3","0","3.3","0","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"10","Results","2657","138","19.9","19","2.9","45","60.4","7.2","12.8","5.6","0.4","6","2.6","3.4","0.78","6","70","68.1","5.3","0.4","0","0","0","1","0","1.9","1","1","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"11","Results","2098","125","17.2","16","0.8","23","93.5","4.3","9.1","15.7","0.5","3.3","3.3","3.3","1","6.7","43.4","55.8","2.4","0.5","0","0","1","1","0","8.6","1","0","E2_2020-2026","P1_handcrafted","T2_other","V_Elsevier","A2","no"
"12","Results","2095","110","19.6","18","2.7","26","81.9","8.1","13.8","29.1","2.9","1.9","3.3","1.9","1.75","4.8","48.7","54.9","3.3","1","0","1","0","0","0","1.4","0","0","E2_2020-2026","P2_deep","T2_other","V_Elsevier","A2","no"
"13","Results","2165","116","19.2","17","2.6","26","85.8","8.3","10.2","24.9","0.5","3.2","3.7","0.5","8","2.3","36.5","70.7","1.4","0","0","1","1","0","1","5.1","2","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A2","no"
"16","Results","2756","154","18.2","17","1.3","30","93.4","17.4","9.1","17.4","0.7","0.4","5.1","1.5","3.5","8.3","51.2","60.2","1.1","4.7","1","4","4","1","1","1.1","0","1","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"17","Results","1867","99","19.1","18","4","17","111.1","13.9","5.4","0.5","0","0","1.1","0","-1","0.5","38","10.2","2.7","2.7","0","0","0","0","0","2.1","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"18","Results","2475","121","20.8","20","2.5","19","132.5","8.1","17.8","10.9","3.6","0","0","1.2","0","10.5","60.2","53.7","0","0","1","0","0","0","0","2.8","1","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A3","no"
"19","Results","1666","116","14.5","14","0","20","82.2","6.6","14.4","18","0","3.6","3.6","3.6","1","8.4","39","126.7","3.6","1.2","0","0","3","6","0","3","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"20","Results","1226","67","19","17","1.5","16","79.7","14.7","22","5.7","0.8","2.4","0.8","3.3","0.25","7.3","42.4","120.7","4.1","1.6","0","0","0","1","0","3.3","1","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_IEEE","A1","no"
"21","Results","980","54","18.4","16","3.7","12","80.9","23.5","7.1","11.2","0","3.1","0","0","-1","0","39.8","10.2","1","0","0","0","0","0","0","4.1","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"30","Results","779","48","16.7","15","0","15","53.2","20.5","10.3","21.8","1.3","1.3","1.3","2.6","0.5","6.4","42.4","82.2","1.3","1.3","0","1","0","0","0","2.6","1","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A2","no"
"31","Results","1019","69","15","12","0","12","86.4","15.7","22.6","20.6","4.9","1","7.9","4.9","1.6","2","40.2","79.5","1","2.9","0","1","0","4","0","2","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A1","no"
"36","Results","1276","68","19.1","18","4.4","12","108.1","10.2","16.5","2.4","0.8","5.5","3.9","1.6","2.5","3.9","75.2","92.5","5.5","0","0","0","0","0","0","1.6","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A1","no"
"01","Conclusion","141","7","21.1","20","0","1","148","0","28.4","7.1","14.2","0","0","0","-1","7.1","99.3","14.2","21.3","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A2","no"
"02","Conclusion","96","5","20.8","20","0","1","104","0","20.8","10.4","20.8","0","0","0","-1","0","62.5","52.1","0","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"03","Conclusion","205","8","26.6","28","0","1","213","19.5","14.6","9.8","14.6","0","0","4.9","0","4.9","97.6","0","9.8","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","yes"
"04","Conclusion","179","7","26.4","24","0","1","185","0","22.3","5.6","16.8","0","0","0","-1","11.2","134.1","33.5","11.2","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A3","no"
"05","Conclusion","302","17","18.1","18","0","3","102.7","0","13.2","16.6","6.6","0","13.2","3.3","4","9.9","89.4","16.6","6.6","0","0","0","0","0","0","0","0","1","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A2","no"
"06","Conclusion","181","7","27","24","0","1","189","0","22.1","0","22.1","0","0","11","0","5.5","93.9","44.2","5.5","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_Elsevier","A3","yes"
"07","Conclusion","193","7","28.9","26","14.3","1","202","0","15.5","10.4","15.5","0","0","0","-1","10.4","103.6","10.4","5.2","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","A1","no"
"08","Conclusion","198","10","20.4","21","10","1","204","0","15.2","15.2","10.1","5.1","0","15.2","0","0","106.1","40.4","0","5.1","0","0","0","0","0","0","0","0","E1_2011-2019","P2_deep","T1_smoke","V_Elsevier","A2","no"
"09","Conclusion","154","7","24","22","0","2","84","6.5","19.5","26","13","0","0","0","-1","0","110.4","58.4","0","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"10","Conclusion","207","12","18.2","21","0","3","72.7","9.7","19.3","4.8","14.5","0","4.8","0","-1","14.5","91.8","43.5","0","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T1_smoke","V_IEEE","B","yes"
"11","Conclusion","264","14","19.3","18","0","1","270","3.8","34.1","3.8","11.4","3.8","11.4","3.8","3","18.9","60.6","0","11.4","0","0","0","0","0","0","0","0","0","E2_2020-2026","P1_handcrafted","T2_other","V_Elsevier","A2","no"
"12","Conclusion","312","15","21.5","23","0","2","161.5","9.6","6.4","16","3.2","0","3.2","0","-1","3.2","54.5","48.1","6.4","0","0","1","0","0","0","0","0","0","E2_2020-2026","P2_deep","T2_other","V_Elsevier","A2","no"
"13","Conclusion","269","15","18.3","19","0","3","93.7","3.7","18.6","14.9","11.2","0","3.7","7.4","0.5","3.7","44.6","22.3","7.4","0","0","0","0","0","0","7.4","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A2","no"
"16","Conclusion","399","20","21.2","18","5","4","106","27.6","7.5","5","2.5","0","7.5","2.5","3","12.5","92.7","0","0","5","0","0","0","0","0","0","0","2","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"17","Conclusion","251","12","21.5","25","0","1","258","19.9","4","0","0","0","0","0","-1","0","91.6","0","4","0","0","0","0","0","0","0","0","1","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"18","Conclusion","160","9","18.2","17","0","1","164","6.2","18.8","18.8","12.5","0","0","0","-1","6.2","87.5","50","6.2","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A3","no"
"19","Conclusion","303","13","23.4","21","0","1","304","6.6","29.7","9.9","13.2","0","3.3","3.3","1","3.3","75.9","62.7","3.3","9.9","0","0","0","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A2","no"
"20","Conclusion","209","12","18.5","17","0","1","222","14.4","28.7","4.8","19.1","0","0","4.8","0","9.6","71.8","76.6","14.4","0","0","0","0","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_IEEE","A1","no"
"21","Conclusion","219","11","20.5","18","0","1","226","41.1","0","0","0","0","0","0","-1","9.1","105","18.3","0","0","0","0","0","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_Elsevier","A1","no"
"30","Conclusion","139","7","21.3","18","0","1","149","21.6","14.4","14.4","14.4","0","0","0","-1","7.2","86.3","43.2","0","0","0","0","0","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A2","no"
"31","Conclusion","180","9","20","20","0","2","90","11.1","16.7","5.6","11.1","0","5.6","0","-1","0","77.8","50","5.6","5.6","0","0","0","0","0","0","0","0","E1_2011-2019","P1_handcrafted","T1_smoke","V_KSII","A1","no"
"36","Conclusion","157","8","20.8","20","0","2","83","0","25.5","0","12.7","0","0","0","-1","0","121","57.3","6.4","0","0","0","0","0","0","0","0","0","E2_2020-2026","P2_deep","T2_other","V_IEEE","A1","no"
